Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
SE;MG;Belo Horizonte;M;entre 41 a 50 anos;2014;8;31/08/2014;10/09/2014;01/10/2014;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;F;mais de 70 anos;2014;8;31/08/2014;10/09/2014;01/10/2014;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Domicílio;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Assis;M;entre 21 a 30 anos;2014;8;31/08/2014;10/09/2014;01/10/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Telefone;N;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Assis;M;entre 21 a 30 anos;2014;8;31/08/2014;10/09/2014;01/10/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Internet;N;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 41 a 50 anos;2014;8;31/08/2014;10/09/2014;01/10/2014;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Santo André;F;entre 51 a 60 anos;2014;8;31/08/2014;10/09/2014;01/10/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Maringá;M;entre 41 a 50 anos;2014;8;31/08/2014;10/09/2014;01/10/2014;10;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Rio de Janeiro;F;entre 21 a 30 anos;2014;9;15/09/2014;19/09/2014;08/10/2014;4;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Contrato / Oferta;Alteração de plano/contrato sem solicitação ou aviso prévio;Telefone;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;São Paulo;M;entre 21 a 30 anos;2014;9;29/09/2014;09/10/2014;10/10/2014;10;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Vício de Qualidade;Dificuldade de pagamento, saque, depósito, transferência;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
CO;DF;Brasília;M;entre 31 a 40 anos;2014;9;04/09/2014;13/09/2014;04/10/2014;9;GVT;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Domicílio;S;S;Finalizada não avaliada;Não Avaliada;
